51:53.6,58.72,81.57958984,31.51275635,1005.47,32.07,1
51:53.8,58.72,81.57958984,31.49261475,1005.47,32.07,1
51:54.4,59.04,81.57958984,31.49261475,1005.44,32.07,1
51:54.8,59.04,81.57958984,31.47247314,1005.44,32.07,1
51:55.2,59.2,81.57958984,31.47247314,1005.44,32.05,1
51:55.8,59.2,81.57958984,31.49261475,1005.44,32.05,1
51:56.0,59.06,81.57958984,31.49261475,1005.44,32.06,1
51:56.8,59.06,81.67724609,31.46240234,1005.44,32.06,1
51:56.8,56.48,81.67724609,31.46240234,1005.44,32.06,1
51:57.6,59.06,81.67724609,31.46240234,1005.43,32.07,1
51:57.8,59.06,81.87255859,31.46240234,1005.43,32.07,1
51:58.4,62.28,81.87255859,31.46240234,1005.42,32.06,1
51:58.8,62.28,82.16552734,31.44226074,1005.42,32.06,1
51:59.2,63.08,82.16552734,31.44226074,1005.43,32.05,1
51:59.8,63.08,82.36083984,31.44226074,1005.43,32.05,1
52:00.0,63.56,82.36083984,31.44226074,1005.4,32.07,1
52:00.8,63.56,82.65380859,31.44226074,1005.4,32.07,1
52:00.8,63.58,82.65380859,31.44226074,1005.4,32.07,1
52:01.6,63.58,82.65380859,31.44226074,1005.42,32.06,1
52:01.8,63.58,82.84912109,31.44226074,1005.42,32.06,1
52:02.4,63.42,82.84912109,31.44226074,1005.43,32.07,1
52:02.8,63.42,83.04443359,31.43218994,1005.43,32.07,1
52:03.3,63.74,83.04443359,31.43218994,1005.41,32.06,1
52:03.8,63.74,83.23974609,31.42211914,1005.41,32.06,1
52:04.0,63.9,83.23974609,31.42211914,1005.41,32.07,1
52:04.8,63.9,83.23974609,31.42211914,1005.41,32.07,1
52:04.8,63.9,83.43505859,31.42211914,1005.41,32.07,1
52:05.6,63.9,83.43505859,31.42211914,1005.47,32.06,1
52:05.8,63.9,83.53271484,31.42211914,1005.47,32.06,1
52:06.4,63.74,83.53271484,31.42211914,1005.4,32.05,1
52:06.9,63.74,83.63037109,31.40197754,1005.4,32.05,1
52:07.2,63.9,83.63037109,31.40197754,1005.37,32.05,1
52:07.8,63.9,83.72802734,31.39190674,1005.37,32.05,1
52:08.0,64.22,83.72802734,31.39190674,1005.4,32.05,1
52:08.8,64.22,83.72802734,31.39190674,1005.4,32.05,1
52:08.8,64.22,83.82568359,31.37176514,1005.4,32.05,1
52:09.6,64.22,83.82568359,31.37176514,1005.39,32.04,1
52:09.9,64.22,83.82568359,31.36169434,1005.39,32.04,1
52:10.4,64.06,83.82568359,31.36169434,1005.42,32.05,1
52:10.9,64.06,83.92333984,31.37176514,1005.42,32.05,1
52:11.2,64.06,83.92333984,31.37176514,1005.43,32.04,1
52:11.8,64.06,84.02099609,31.36169434,1005.43,32.04,1
52:12.0,64.06,84.02099609,31.36169434,1005.41,32.05,1
52:12.8,64.38,84.02099609,31.36169434,1005.41,32.05,1
