53:41.4,158.12,67.1875,33.88946533,1010.21,34.81
53:41.8,158.12,67.1875,33.90960693,1010.21,34.81
53:42.2,157.8,67.1875,33.90960693,1010.21,34.82
53:42.8,157.8,67.08984375,33.90960693,1010.21,34.82
53:43.0,157.8,67.08984375,33.90960693,1010.18,34.81
53:43.8,157.8,67.08984375,33.91967773,1010.18,34.81
53:43.8,158.12,67.08984375,33.91967773,1010.18,34.81
53:44.6,157.8,67.08984375,33.91967773,1010.21,34.82
53:44.8,157.8,67.08984375,33.93981934,1010.21,34.82
53:45.4,157.8,67.08984375,33.93981934,1010.18,34.82
53:45.8,157.8,67.08984375,33.93981934,1010.18,34.82
53:46.2,157.8,67.08984375,33.93981934,1010.18,34.83
53:46.8,157.8,66.9921875,33.97003174,1010.18,34.83
53:47.0,157.8,66.9921875,33.97003174,1010.18,34.84
53:47.8,157.8,66.9921875,33.97003174,1010.18,34.84
53:47.8,157.8,66.9921875,33.97003174,1010.18,34.84
53:48.6,157.8,66.9921875,33.97003174,1010.21,34.83
53:48.8,157.8,66.88842773,33.97003174,1010.21,34.83
53:49.4,157.8,66.88842773,33.97003174,1010.21,34.84
53:49.8,157.8,66.88842773,33.98010254,1010.21,34.84
53:50.2,157.8,66.88842773,33.98010254,1010.21,34.84
53:50.8,157.8,66.88842773,33.98010254,1010.21,34.84
53:51.0,157.8,66.88842773,33.98010254,1010.15,34.86
53:51.8,157.8,66.88842773,34.00024414,1010.15,34.86
53:51.8,157.8,66.88842773,34.00024414,1010.15,34.86
53:52.6,157.8,66.88842773,34.00024414,1010.14,34.86
53:52.8,157.8,66.79077148,34.02038574,1010.14,34.86
53:53.4,157.8,66.79077148,34.02038574,1010.23,34.86
53:53.8,157.8,66.79077148,34.02038574,1010.23,34.86
53:54.2,157.8,66.79077148,34.02038574,1010.21,34.87
53:54.8,157.8,66.69311523,34.02038574,1010.21,34.87
53:55.0,157.48,66.69311523,34.02038574,1010.21,34.88
53:55.8,157.48,66.69311523,34.03045654,1010.21,34.88
53:55.8,157.8,66.69311523,34.03045654,1010.21,34.88
53:56.6,157.48,66.69311523,34.03045654,1010.21,34.89
53:56.8,157.48,66.69311523,34.03045654,1010.21,34.89
53:57.4,155.84,66.69311523,34.03045654,1010.2,34.9
53:57.8,155.84,66.69311523,34.03045654,1010.2,34.9
53:58.2,152.64,66.69311523,34.03045654,1010.21,34.9
53:58.8,152.64,66.59545898,34.03045654,1010.21,34.9
53:59.0,150.08,66.59545898,34.03045654,1010.23,34.9
53:59.8,149.76,66.59545898,34.03045654,1010.23,34.9
53:59.8,149.76,66.59545898,34.02038574,1010.23,34.9
54:00.6,154.24,66.59545898,34.02038574,1010.21,34.9
54:00.8,154.24,66.59545898,34.02038574,1010.21,34.9
54:01.4,151.68,66.59545898,34.02038574,1010.23,34.9
54:01.8,151.68,66.59545898,33.94989014,1010.23,34.9
54:02.2,149.12,66.59545898,33.94989014,1010.19,34.86
54:02.8,149.12,66.49780273,33.97003174,1010.19,34.86
54:03.0,153.28,66.49780273,33.97003174,1010.18,34.85
54:03.8,153.92,66.49780273,33.97003174,1010.18,34.85
54:03.8,153.92,66.49780273,33.91967773,1010.18,34.85
